,NR_experienced_on_request,no_of_supercats_tried_last_30d,no_of_supercats_tried_last_90d,no_of_supercats_tried_last_365d,no_of_deliveries_last_30d,no_of_deliveries_last_90d,no_of_deliveries_last_365d,service_deliverd_aov_last_30d,service_deliverd_aov_last_90d,service_deliverd_aov_last_365d,most_deliverd_supercat,income_segment,gender,user_state_platform,days_on_platform,NR_experienced_last_365d,revenues_next_6_months,request_id
54458,1,0.0,0.0,2.0,0.0,0.0,4.0,,,691.75,SKBC,,Male,DORMANT,981.0,0.0,2953.0,8623dfd9-8ff9-4f95-8bf6-8a2889d2bb72
118646,0,2.0,4.0,5.0,3.0,5.0,15.0,3514.6666666666665,2297.8,1564.4666666666667,Salon at Home,10 lac - 15lac,Male,ENGAGED,230.0,0.0,4369.0,e0b13106-6573-4677-b0e1-68048af871d9
57401,1,,,,,,,,,,,,Male,,,0.0,487.0,c3991ab0-a865-4ed4-bef8-f9fe6983ed28
115324,0,3.0,4.0,8.0,3.0,6.0,23.0,365.3333333333333,390.0,3255.608695652174,Mens Grooming,25lac +,Male,ENGAGED,2297.0,0.0,22458.0,7c029524-fad5-48ee-bbe9-8c497c1ff6e5
71684,1,1.0,2.0,4.0,1.0,2.0,27.0,818.0,578.0,605.6666666666666,EPC,,Female,ENGAGED,1588.0,0.0,4934.0,d8a63e9b-acc7-4397-b72e-0fa3d41d72e6
13473,1,1.0,1.0,1.0,1.0,2.0,4.0,248.0,248.0,186.0,Mens Grooming,,Male,ENGAGED,565.0,0.0,1450.0,73c519a5-015c-4519-85c6-c1528506d77b
961,1,0.0,1.0,1.0,0.0,1.0,2.0,,398.0,398.0,Salon at Home,,Female,RESURRECTED,134.0,0.0,2708.0,f62e3221-414e-477f-88e2-ffa1b44a3a09
10754,1,,,,,,,,,,,,Male,,,0.0,648.0,30d11198-78f3-49a1-8f13-4b4302c70f10
51225,1,0.0,0.0,3.0,0.0,0.0,4.0,,,1147.25,Salon at Home,25lac +,Female,DORMANT,1911.0,0.0,598.0,cb95eae0-459d-4e2d-8ca4-1812fb72fd86
177967,0,1.0,1.0,2.0,1.0,5.0,11.0,2897.0,1799.6,1591.3636363636363,Salon at Home,15lac - 25lac,Female,ENGAGED,1233.0,0.0,13461.0,6ab0800a-61bf-4edc-8ad7-694e9f57e881
99930,1,0.0,0.0,1.0,0.0,0.0,1.0,,,594.0,Salon at Home,,Male,NEW DORMANT,93.0,0.0,598.0,3b27342f-a6b6-4ecd-9009-f284586dc991
105223,0,1.0,2.0,3.0,1.0,2.0,3.0,598.0,922.5,1397.6666666666667,AC Service and Repair,,Female,ENGAGED,126.0,1.0,2506.0,f28300ef-72d6-4209-8de0-698c103cee01
36305,1,1.0,1.0,2.0,1.0,1.0,2.0,448.0,448.0,967.0,Other Appliance and Electronics,,Male,RESURRECTED,359.0,0.0,2324.0,43320598-4120-4660-b22d-e893c2ce4133
25232,1,1.0,1.0,1.0,1.0,1.0,1.0,548.0,548.0,548.0,AC Service and Repair,,Male,NEW,13.0,0.0,848.0,1199b3af-530a-4ba2-b038-e5c94d31698c
101182,0,,,,,,,,,,,,Female,,,0.0,1097.0,24b484a0-89a5-44d8-ac8e-fe0e90614202
41560,1,0.0,0.0,2.0,0.0,0.0,2.0,,,503.0,Mens Grooming,,Male,CHURN,817.0,0.0,448.0,4fa7a892-03e7-4e5d-8450-612d58231296
50850,1,3.0,5.0,7.0,4.0,7.0,31.0,896.25,1077.4285714285713,881.516129032258,EPC,,Female,ENGAGED,470.0,0.0,10972.0,14901db6-cce1-4386-98ce-a2eb52b42421
6043,1,,,,,,,,,,,,Male,,,0.0,199.0,c2c77f58-0fa8-45de-bccc-5b5b15de4e03
165395,0,0.0,0.0,1.0,0.0,0.0,1.0,,,847.0,AC Service and Repair,,Male,DORMANT,1100.0,0.0,3194.0,75a9f528-44c9-40af-8487-ab3f4f191899
94628,1,,,,,,,,,,,,Female,,,0.0,2488.0,d146a2f5-ed92-44fc-afd5-74dc86175eb6
13009,1,1.0,2.0,2.0,1.0,2.0,2.0,548.0,773.0,773.0,EPC,,Male,ENGAGED,675.0,0.0,,fde700b7-aeb5-4a63-8806-8d2916f52ad8
118554,0,0.0,1.0,1.0,0.0,2.0,3.0,,1495.5,1746.3333333333333,Salon at Home,25lac +,Female,ENGAGED,843.0,0.0,4236.0,7ce574bb-11a4-4e4f-91ad-74bb1e29337e
55889,1,,,,,,,,,,,,Male,,,0.0,,f4fb62e9-32e7-4762-8442-7e2bb281276c
147686,0,1.0,1.0,5.0,1.0,1.0,11.0,448.0,448.0,677.0909090909091,SKBC,,Female,RESURRECTED,1022.0,1.0,15170.0,ff95fff6-fcd6-46e4-9e0e-931cbb6d6207
9775,1,,,,,,,,,,,,Male,,,0.0,1185.0,fd92c3f5-0056-4be6-93fa-0bf7d0ad0204
192971,0,1.0,1.0,1.0,1.0,1.0,1.0,4688.0,4688.0,4688.0,Large Appliances,,Male,RESURRECTED,625.0,0.0,468.0,cb97e6db-6dc7-4a3d-bdf4-7d9afba2e145
114825,0,1.0,1.0,1.0,2.0,3.0,3.0,1455.5,1759.3333333333333,1759.3333333333333,Salon at Home,15lac - 25lac,Male,ENGAGED,566.0,0.0,3361.0,d6410e83-a12c-4611-9da2-f99308cf0000
103008,0,1.0,2.0,2.0,1.0,3.0,11.0,1248.0,914.6666666666666,934.6363636363636,Salon at Home,,Male,ENGAGED,579.0,0.0,9013.0,adbf7967-6cd7-48eb-be38-18af91333d9e
184417,0,1.0,2.0,3.0,1.0,4.0,15.0,2148.0,1248.0,1560.6666666666667,Massage for Men,,Male,ENGAGED,954.0,0.0,15125.0,349d7d90-af50-4689-9538-940453efdff4
47401,1,2.0,4.0,6.0,4.0,9.0,42.0,482.75,470.0,1127.5,Salon at Home,Na,Female,ENGAGED,2331.0,0.0,11104.0,ac7dfe14-e723-4c04-b918-9e4ad70cb360
154036,0,,,,,,,,,,,,Male,,,0.0,628.0,f40c57c1-d011-4d88-967b-43f3bf4fff90
145964,0,2.0,2.0,6.0,2.0,4.0,20.0,4880.0,2827.5,1223.35,SKBC,,Male,ENGAGED,1478.0,0.0,11080.0,4105712e-a6ba-489e-80a9-a8a81b062402
152168,0,0.0,2.0,3.0,0.0,3.0,6.0,,391.3333333333333,549.6666666666666,EPC,15lac - 25lac,Male,ENGAGED,975.0,0.0,21044.0,fb04988d-7f9d-41f6-b156-fb4f1533e795
135040,0,0.0,1.0,3.0,0.0,1.0,9.0,,1541.0,1061.0,Salon at Home,,Female,ENGAGED,1043.0,0.0,7665.0,929b53c7-278c-4c26-8a25-e8b4cb3e3dfa
145646,0,,,,,,,,,,,,Unknown,,,0.0,1207.0,57dc7f99-34e4-4155-a4d8-2ca2ba07b4c4
116962,0,1.0,1.0,1.0,1.0,3.0,10.0,1647.0,1397.3333333333333,1674.9,Salon at Home,,Female,ENGAGED,1627.0,0.0,15971.0,6cd3d885-8c09-4e76-bf89-a34cf9025bdc
157368,0,1.0,2.0,5.0,1.0,2.0,17.0,1848.0,1524.5,873.0,EPC,,Male,ENGAGED,2204.0,0.0,6288.0,6b8650cd-7c00-4104-aa76-2c4cfdccc99b
57669,1,1.0,1.0,4.0,1.0,1.0,4.0,698.0,698.0,1022.25,EPC,,Male,ENGAGED,1311.0,1.0,2203.0,43eec172-faa9-408c-9b6e-fc22ecc0b353
149473,0,2.0,3.0,4.0,4.0,8.0,17.0,672.5,616.75,578.4705882352941,EPC,25lac +,Male,ENGAGED,176.0,1.0,25175.0,5b9a2ef0-dee6-4017-b626-f6ebbfcdcbad
166841,0,1.0,2.0,2.0,2.0,5.0,22.0,1844.5,1932.2,1968.3636363636363,Salon at Home,,Female,ENGAGED,1644.0,0.0,32712.0,bea0c401-99b0-4906-8ff5-8fa682f4ce66
67912,1,3.0,4.0,6.0,3.0,11.0,25.0,1138.3333333333333,1145.0,1071.56,Salon at Home,25lac +,Female,ENGAGED,2258.0,2.0,10735.0,0192957f-d1d4-4728-bf88-f37f0524fceb
163312,0,0.0,1.0,3.0,0.0,1.0,3.0,,616.0,937.3333333333334,SKBC,,Female,ENGAGED,143.0,0.0,1056.0,08a23fc9-a66e-48fc-9f1c-4fd8ad0ecd96
110788,0,0.0,1.0,2.0,0.0,2.0,6.0,,1998.0,2554.1666666666665,SKBC,25lac +,Female,ENGAGED,1169.0,2.0,16220.0,b1a8b119-58cf-42e8-8963-7537fa4e42bb
84791,1,0.0,3.0,4.0,0.0,5.0,15.0,,728.4,828.9333333333333,Salon at Home,25lac +,Female,ENGAGED,575.0,1.0,8662.0,c8720cbb-a52e-42c8-b3e9-0d7736ecf5af
